Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0006259,DNA metabolic process,59,985,69,3.5810331706580934e-63,1.8621372487422084e-60,10535;10721;11073;1111;11144;11200;1763;2177;2237;22976;2547;27434;29980;3010;3014;3981;4171;4172;4174;4175;4176;4361;4678;472;4998;5111;5422;5427;545;55215;5557;57379;580;5884;5888;5890;5892;5932;5983;6117;6118;6240;63967;641;64785;672;675;7156;7158;7520;79075;79728;8208;83990;84126;84296;90381;9401;9656,True,"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]",19241,0.855072463768116,0.05989847715736041,query_1,['GO:0090304']
GO:BP,GO:0006281,DNA repair,51,610,69,3.0290799850269318e-59,7.875607961070022e-57,10535;10721;11073;1111;11144;11200;1763;2177;2237;22976;2547;27434;3014;3981;4171;4172;4174;4175;4176;4361;472;5111;5422;5427;545;55215;580;5884;5888;5890;5892;5932;5983;6117;6118;6240;63967;641;672;675;7156;7158;7520;79728;8208;83990;84126;84296;90381;9401;9656,True,"""The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."" [PMID:11563486]",19241,0.7391304347826086,0.08360655737704918,query_1,"['GO:0006259', 'GO:0006974']"
GO:BP,GO:0006974,DNA damage response,52,896,69,1.6180468125469561e-52,2.1034608563110428e-50,10535;10721;11073;1111;11144;11200;1763;2177;2237;22976;2547;27434;29980;3014;3981;4171;4172;4174;4175;4176;4361;472;5111;5422;5427;545;55215;580;5884;5888;5890;5892;5932;5983;6117;6118;6240;63967;641;672;675;7156;7158;7520;79728;8208;83990;84126;84296;90381;9401;9656,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]",19241,0.7536231884057971,0.05803571428571429,query_1,['GO:0033554']
GO:BP,GO:0006260,DNA replication,38,278,69,7.796369513822555e-50,8.108224294375457e-48,10535;10721;11073;1111;1763;2237;29980;4171;4172;4174;4175;4176;4361;4678;4998;5111;5422;5427;545;5557;57379;580;5884;5888;5932;5983;6117;6118;6240;641;64785;672;675;79075;8208;84296;90381;9401,True,"""The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."" [GOC:mah]",19241,0.5507246376811594,0.1366906474820144,query_1,['GO:0006259']
GO:BP,GO:0006302,double-strand break repair,38,318,69,1.370318557391373e-47,1.017950928347877e-45,10721;11073;1111;11144;11200;1763;2177;2237;2547;27434;3014;3981;4171;4172;4174;4175;4176;4361;472;5422;545;5888;5890;5892;5932;6117;6118;641;672;675;7156;7158;7520;79728;83990;84126;84296;9401,True,"""The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix."" [GOC:elh]",19241,0.5507246376811594,0.11949685534591195,query_1,['GO:0006281']
GO:BP,GO:0006310,DNA recombination,37,346,69,2.374908512505595e-44,1.3721693627810105e-42,10721;11073;1111;11144;2177;2237;22976;2547;27434;3010;3014;3981;4171;4172;4174;4175;4176;4361;472;57379;580;5888;5890;5892;5932;6117;6118;641;672;675;7156;7158;7520;79728;83990;84296;9401,True,"""Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."" [ISBN:0198506732]",19241,0.5362318840579711,0.1069364161849711,query_1,['GO:0006259']
GO:BP,GO:0006261,DNA-templated DNA replication,30,159,69,8.34812113907115e-43,4.341022992316998e-41,10721;11073;1763;2237;29980;4171;4172;4174;4175;4176;4361;4998;5111;5422;5427;545;5557;57379;580;5888;5932;5983;6117;6240;641;64785;672;675;84296;90381,True,"""A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands."" [GOC:mah, ISBN:0198506732]",19241,0.43478260869565216,0.18867924528301888,query_1,['GO:0006260']
GO:BP,GO:0000725,recombinational repair,29,192,69,2.91892377092378e-38,7.589201804401828e-37,10721;11073;1111;11144;2237;2547;3014;4171;4172;4174;4175;4176;4361;472;5888;5890;5892;5932;6117;6118;641;672;675;7156;7158;7520;79728;84296;9401,True,"""A DNA repair process that involves the exchange, reciprocal or nonreciprocal, of genetic material between the broken DNA molecule and a homologous DNA region."" [GOC:elh]",19241,0.42028985507246375,0.15104166666666666,query_1,"['GO:0006281', 'GO:0006310']"
GO:BP,GO:0033554,cellular response to stress,52,1813,69,4.095597417722281e-37,1.0141479320074217e-35,10535;10721;11073;1111;11144;11200;1763;2177;2237;22976;2547;27434;29980;3014;3981;4171;4172;4174;4175;4176;4361;472;5111;5422;5427;545;55215;580;5884;5888;5890;5892;5932;5983;6117;6118;6240;63967;641;672;675;7156;7158;7520;79728;8208;83990;84126;84296;90381;9401;9656,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",19241,0.7536231884057971,0.028681742967457253,query_1,"['GO:0006950', 'GO:0051716']"
GO:BP,GO:0000724,double-strand break repair via homologous recombination,27,187,69,6.916185341880259e-35,1.6347347171716976e-33,10721;11073;1111;11144;2237;3014;4171;4172;4174;4175;4176;4361;472;5888;5890;5892;5932;6117;6118;641;672;675;7156;7158;79728;84296;9401,True,"""The error-free repair of a double-strand break in DNA in which the broken DNA molecule is repaired using homologous sequences. A strand in the broken DNA searches for a homologous region in an intact chromosome to serve as the template for DNA synthesis. The restoration of two intact DNA molecules results in the exchange, reciprocal or nonreciprocal, of genetic material between the intact DNA molecule and the broken DNA molecule."" [GOC:elh, PMID:10357855]",19241,0.391304347826087,0.1443850267379679,query_1,"['GO:0000725', 'GO:0006302']"
