Gene_set,Term,Term_Name,Overlap,term_size,query_size,P-value,Adjusted P-value,Genes,significant,description,effective_domain_size,precision,recall,query,parents
REAC,REAC:R-HSA-2559583,Cellular Senescence,26,193,65,8.700753811341389e-33,8.352723658887733e-30,1017;1019;1021;1026;1029;1051;1869;1870;2113;29882;3007;3009;3012;3159;3725;4193;5925;5970;64682;653604;7027;7157;8356;8900;898;9134,True,Cellular Senescence,19241,0.4,0.13471502590673576,query_1,['REAC:R-HSA-2262752']
REAC,REAC:R-HSA-69236,G1 Phase,17,47,65,5.351572426182481e-29,1.712503176378394e-26,1017;1019;1021;1026;1028;1029;1869;1870;1874;5925;5933;5934;7027;894;898;902;9134,True,G1 Phase,19241,0.26153846153846155,0.3617021276595745,query_1,['REAC:R-HSA-453279']
REAC,REAC:R-HSA-69231,Cyclin D associated events in G1,17,47,65,5.351572426182481e-29,1.712503176378394e-26,1017;1019;1021;1026;1028;1029;1869;1870;1874;5925;5933;5934;7027;894;898;902;9134,True,Cyclin D associated events in G1,19241,0.26153846153846155,0.3617021276595745,query_1,['REAC:R-HSA-69236']
REAC,REAC:R-HSA-212436,Generic Transcription Pathway,39,1232,65,5.010818871030196e-28,1.202596529047247e-25,10001;1017;1019;1020;1021;1025;1026;1029;1051;1387;1869;1874;23198;29079;29882;3012;3725;4193;4609;5713;5925;5933;5934;5970;64682;653604;6908;7027;7157;8356;8841;8900;894;898;902;9134;9282;9443;983,True,Generic Transcription Pathway,19241,0.6,0.03165584415584415,query_1,['REAC:R-HSA-73857']
REAC,REAC:R-HSA-453279,Mitotic G1 phase and G1/S transition,21,148,65,5.405810074775441e-27,1.0379155343568848e-24,1017;1019;1021;1026;1028;1029;1869;1870;1874;4609;5713;5925;5933;5934;7027;8900;894;898;902;9134;983,True,Mitotic G1 phase and G1/S transition,19241,0.3230769230769231,0.14189189189189189,query_1,['REAC:R-HSA-69278']
REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,39,1353,65,1.1492028372323712e-26,1.8387245395717937e-24,10001;1017;1019;1020;1021;1025;1026;1029;1051;1387;1869;1874;23198;29079;29882;3012;3725;4193;4609;5713;5925;5933;5934;5970;64682;653604;6908;7027;7157;8356;8841;8900;894;898;902;9134;9282;9443;983,True,RNA Polymerase II Transcription,19241,0.6,0.028824833702882482,query_1,['REAC:R-HSA-74160']
REAC,REAC:R-HSA-74160,Gene expression (Transcription),40,1516,65,3.787955280813121e-26,5.1949100994008516e-24,10001;1017;1019;1020;1021;1025;1026;1029;1051;1387;1869;1874;23198;26993;29079;29882;3012;3725;4193;4609;5713;5925;5933;5934;5970;64682;653604;6908;7027;7157;8356;8841;8900;894;898;902;9134;9282;9443;983,True,Gene expression (Transcription),19241,0.6153846153846154,0.026385224274406333,query_1,['REAC:0000000']
REAC,REAC:R-HSA-2262752,Cellular responses to stress,32,795,65,2.234668778428557e-25,2.4472332360231493e-23,1017;1019;1021;1026;1029;1051;1387;1869;1870;2034;2113;23198;29882;3007;3009;3012;3159;3725;4193;4609;5713;5925;5970;64682;653604;7027;7157;8356;8841;8900;898;9134,True,Cellular responses to stress,19241,0.49230769230769234,0.04025157232704402,query_1,['REAC:R-HSA-8953897']
REAC,REAC:R-HSA-9661069,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",12,17,65,2.804121416276525e-25,2.4472332360231493e-23,1017;1019;1021;1026;1028;1869;1870;5925;7027;894;898;9134,True,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",19241,0.18461538461538463,0.7058823529411765,query_1,['REAC:R-HSA-9659787']
REAC,REAC:R-HSA-8953897,Cellular responses to stimuli,32,809,65,2.804121416276525e-25,2.4472332360231493e-23,1017;1019;1021;1026;1029;1051;1387;1869;1870;2034;2113;23198;29882;3007;3009;3012;3159;3725;4193;4609;5713;5925;5970;64682;653604;7027;7157;8356;8841;8900;898;9134,True,Cellular responses to stimuli,19241,0.49230769230769234,0.03955500618046971,query_1,['REAC:0000000']
REAC,REAC:R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,12,17,65,2.804121416276525e-25,2.4472332360231493e-23,1017;1019;1021;1026;1028;1869;1870;5925;7027;894;898;9134,True,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,19241,0.18461538461538463,0.7058823529411765,query_1,['REAC:R-HSA-9687139']
REAC,REAC:R-HSA-1643685,Disease,41,1784,65,6.22538285545157e-25,4.597205800948851e-23,10001;1017;1019;1020;1021;1025;1026;1028;1029;1051;1387;1869;1870;219541;2232;23198;29079;29882;3012;3159;3725;3838;4193;4609;5713;5925;5970;64682;653604;6908;7027;7157;80306;8356;8841;894;898;902;9134;9282;9443,True,Disease,19241,0.6307692307692307,0.02298206278026906,query_1,['REAC:0000000']
REAC,REAC:R-HSA-1640170,Cell Cycle,30,677,65,6.22538285545157e-25,4.597205800948851e-23,1017;1019;1021;1026;1028;1029;1869;1870;1874;23198;29882;3012;4193;4609;5713;5925;5933;5934;64682;653604;7027;7157;8356;8607;8900;894;898;902;9134;983,True,Cell Cycle,19241,0.46153846153846156,0.04431314623338257,query_1,['REAC:0000000']
REAC,REAC:R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,14,36,65,8.56938701174137e-25,5.484407687514477e-23,1017;1019;1021;1026;1028;1869;1870;29882;5925;64682;7027;894;898;9134,True,Aberrant regulation of mitotic cell cycle due to RB1 defects,19241,0.2153846153846154,0.3888888888888889,query_1,['REAC:R-HSA-9675126']
REAC,REAC:R-HSA-69278,"Cell Cycle, Mitotic",28,547,65,8.56938701174137e-25,5.484407687514477e-23,1017;1019;1021;1026;1028;1029;1869;1870;1874;23198;29882;3012;4609;5713;5925;5933;5934;64682;653604;7027;7157;8356;8900;894;898;902;9134;983,True,"Cell Cycle, Mitotic",19241,0.4307692307692308,0.051188299817184646,query_1,['REAC:R-HSA-1640170']
REAC,REAC:R-HSA-9675126,Diseases of mitotic cell cycle,14,38,65,2.0361624803979136e-24,1.2216974882387483e-22,1017;1019;1021;1026;1028;1869;1870;29882;5925;64682;7027;894;898;9134,True,Diseases of mitotic cell cycle,19241,0.2153846153846154,0.3684210526315789,query_1,['REAC:R-HSA-1643685']
REAC,REAC:R-HSA-1538133,G0 and Early G1,11,26,65,7.469497365179704e-20,4.218069100336774e-18,1017;1869;1874;4609;5933;5934;7027;8900;898;9134;983,True,G0 and Early G1,19241,0.16923076923076924,0.4230769230769231,query_1,['REAC:R-HSA-453279']
REAC,REAC:R-HSA-69242,S Phase,17,162,65,1.0643621792065639e-19,5.676598289101674e-18,1017;1019;1026;1869;1874;23198;29882;4609;5713;5925;5934;64682;7027;8900;898;902;9134,True,S Phase,19241,0.26153846153846155,0.10493827160493827,query_1,['REAC:R-HSA-69278']
REAC,REAC:R-HSA-69206,G1/S Transition,16,131,65,1.36249284477204e-19,6.8841743735850446e-18,1017;1019;1026;1869;1874;4609;5713;5925;5933;5934;7027;8900;898;902;9134;983,True,G1/S Transition,19241,0.24615384615384617,0.12213740458015267,query_1,['REAC:R-HSA-453279']
REAC,REAC:R-HSA-69202,Cyclin E associated events during G1/S transition ,14,82,65,3.320539583935237e-19,1.593859000288914e-17,1017;1019;1026;1869;1874;4609;5713;5925;5934;7027;8900;898;902;9134,True,Cyclin E associated events during G1/S transition ,19241,0.2153846153846154,0.17073170731707318,query_1,['REAC:R-HSA-69206']
